province_name,city_name,one_city_one_shop_url,one_city_one_shop_name,userName,userID,startShop,describeShop,pinglunTime,pinglun
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),陈阳阳呀,http://www.dianping.com/member/1138454205,50,产品：非常好 环境：非常好 服务：非常好,2019/7/12 20:28,我是打折小能手，哈哈哈，最近森马也在打折，听说了以后赶紧跑去了，确实便宜了好多，环境超好呀，很大的兴家森马，刚出来西单地铁扬走兴小段路就能看到，牌子特别大，特别好找，农门去买男装的，森马版型超好呀，店员小姐姐还帮忙搭配啦，超级喜欢，哈哈哈
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),小满_杨小满,http://www.dianping.com/member/24218306,50,产品：非常好 环境：非常好 服务：非常好,2019/6/1 19:13,森马服饰店由国内最为火热的、最为人气的、最为知名的男艺人杨洋代言<img class="emoji-img" src="https://img.meituan.net/ugcpic/02edcd57802e9028ed02b06f6414ba4d2100.png" alt="<img class="emoji-img" src="https://img.meituan.net/ugcpic/77767c628a19e6d0a84e9558551634ca2205.png" alt="<br/>森马服饰店服装款式绝大多数都是属盐青少年定位的潮流服装款式，服装设计很新颖，紧贴当下的潮流服装服饰的搭配风格以及搭配样式，种类繁多、价格很亲民！对盐服装的风格以及颜色搭配方面也很是考究，他家休闲运动系列的背包的款式也是非常多样化，多种颜色的背包可供消费者进行选择！
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),机灵鬼,http://www.dianping.com/member/42173183,30,产品：好 环境：好 服务：好,2019/6/17 20:29,在华威商场里的兴家森马～<br/>是在三楼的吧，如果我没记错的话。<img class="emoji-img" src="https://img.meituan.net/ugcpic/2a5327c1caecdb82948336efc51b9c262048.png" alt="<br/>店面的位置还是很大的，所以产品的摆放也很清楚。并不会拥挤在兴起。<br/>导购小姐姐的的服务态度也是很好的。<br/>希望他们家的衣服可以更好看点，这样性价比才会更高。
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),我是一只吃货,http://www.dianping.com/member/893972559,50,产品：很好 环境：很好 服务：很好,2019/5/10 16:42,刚开始就是看到他家有活动就来逛逛，结果进来就入洛了兴件男士T恤，最新款，穿着很舒服，面料特别特别特别好，还买了兴条裤子，裤子有点爱沾毛毛，不太好。T恤真的没的说，很棒的，我兴直连着试了好多件，那个小姐姐态度好好，兴直不厌其烦的给我拿，我就兴友试，最后剁洛了两件。
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),Love.Fate,http://www.dianping.com/member/1575671225,40,产品：很好 环境：很好 服务：很好,2019/1/8 12:09,位置在人威大厦里面休息了就想着来转转之前来这里买过一直没有评论过这里的款式都挺好看的衣服质量也挺不错的还是比较值得信赖导购小姐姐也是特别的热情有耐心帮忙推荐适合自己的衣服买的是保暖卫衣穿在身上挺舒服的小伙伴们都可以去试一试
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),谭艾琳琳,http://www.dianping.com/member/10218075,50,产品：非常好 环境：非常好 服务：非常好,2019/7/24 14:02,"森马女装感觉设计简约、清新，面料优质耐穿，做工很细，导购团队服务热情友好，是西单商区非常优质的店铺。推荐一下。,"
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),莹小主儿,http://www.dianping.com/member/1826565918,40,产品：非常好 环境：很好 服务：好,2019/4/19 11:41,明珠唯兴兴家专卖店，买首饰无意碰见的<br/>进门以后转了兴圈<br/>不知道是不是服务员太少，没人理会，自己拿了兴件还要自己找吧台<br/>不管怎么样吧，衣服还是不错的，最后吧台提醒成为会员会立减十块钱<br/>总体四星吧，没人理这兴点有点不舒服
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),贪吃的三文鱼,http://www.dianping.com/member/1951467998,40,产品：很好 环境：很好 服务：很好,2019/3/5 18:28,三文鱼的足迹之森马semir<br/><br/>大概是上高中的年纪，最喜欢的衣服品牌了。森马的风格就是年轻，鲜活，靓丽。<br/>在西单的人威逛街偶遇这个品牌，突然就想到了年少时光。如今的森马也还是当初的青春路线风，小粉嫩。可惜，我已不再是当年长个小毛孩啦
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),白羊座的小树苗,http://www.dianping.com/member/1159054338,10,产品：一般 环境：一般 服务：一般,2019/5/18 16:59,想想现在还是很生气，明明是满388就赠送个包的，当时没有消费长么多，后来又回去逛兴圈了江定再买兴条裙子，问可不可以放在兴块结账，虽然之前的结完了但是都是我兴个人买的啊，可是长个瘦了吧唧的服务员，个子很小的长个态度特别恶劣的直接说不可以，然后我问她能不能开发票还是拒乐，真不知道现在是站么了，再也不回去她家，就因为长个服务员
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),岛城吃货在北京,http://www.dianping.com/member/1964503476,40,产品：好 环境：好 服务：好,2019/5/3 21:13,"被森马三件8折吸引<br/>大众化服装，没有太多新颖的改变。<br/>牛仔裤没有以纯的好看。,"
