senior_class,senior_id,content,product_name,gid,market_price,order_overdue,price_min,sale_mode,sale_count,sale_fee,summary,url,start_time,Img800,comment_tag,create_time,end_time,one_size_pid,one_size_saled,one_size_inventory,one_size_name
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44893,1,34,凡客女T恤心中有了结果 白色S
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44900,1,34,凡客女T恤心中有了结果 黑色XL
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44889,1,149,凡客男士T恤 心中有了结果 白色M
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44899,3,62,凡客女T恤心中有了结果 黑色L
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44888,3,82,凡客男士T恤 心中有了结果 白色S
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44890,0,200,凡客男士T恤 心中有了结果 白色L
服装配饰,93,配饰,PMA石墨烯发热围巾,104113,199.0,7200,179.0,301,0,0,隔绝寒冷，保持温暖，石墨烯发热，柔滑抗菌，时尚百搭,http://m.youpin.mi.com/shop/detail?gid=104113,00-00-00,https://img.youpin.mi-img.com/800_pic/34811b7030d13c717bd5e8293d83c5a2.png,		质量好|4	使用舒适|3	漂亮美观|3	好用|2	手感佳|2	高性价比|1	颜色一般|1,2018-10-30,00-00-00,19139,1625,799,PMA石墨烯四季空调披肩 灰色
服装配饰,93,配饰,PMA石墨烯发热围巾新年版,104652,199.0,7200,179.0,301,0,0,柔软舒适，石墨烯发热，吸湿透气,http://m.youpin.mi.com/shop/detail?gid=104652,00-00-00,https://img.youpin.mi-img.com/800_pic/152adb80ca40c32c9851f822e44c333b.png,		包装好|2	好用|2	漂亮美观|2	质量好|2,2018-12-10,00-00-00,21765,966,590,PMA石墨烯四季空调披肩 大红色
服装配饰,93,配饰,instant me真丝羊绒英纶围巾（男女同款）,103846,299.0,7200,269.0,301,0,0,山羊绒混纺真丝，经典格纹，柔软亲肤，优雅气质,http://m.youpin.mi.com/shop/detail?gid=103846,00-00-00,https://img.youpin.mi-img.com/800_pic/419e6c843acb82f4569c61522820e62d.png,		质量好|5	使用舒适|4	漂亮美观|3	手感佳|2,2018-10-10,00-00-00,18027,361,112,instant me真丝羊绒围巾 浅咖格纹
服装配饰,93,配饰,instant me真丝羊绒英纶围巾（男女同款）,103846,299.0,7200,269.0,301,0,0,山羊绒混纺真丝，经典格纹，柔软亲肤，优雅气质,http://m.youpin.mi.com/shop/detail?gid=103846,00-00-00,https://img.youpin.mi-img.com/800_pic/419e6c843acb82f4569c61522820e62d.png,		质量好|5	使用舒适|4	漂亮美观|3	手感佳|2,2018-10-10,00-00-00,18028,260,996,instant me真丝羊绒围巾 黑白格纹
服装配饰,93,配饰,10:07纯羊绒超柔双面异色围巾（三色）,103739,259.0,7200,259.0,301,0,0,100%羊绒，雅致异色，舒适保暖，柔滑软糯,http://m.youpin.mi.com/shop/detail?gid=103739,00-00-00,https://img.youpin.mi-img.com/800_pic/7df05524cf8143efc32075ce08f282bf.png,		质量好|18	手感佳|15	使用舒适|12	高性价比|8	漂亮美观|6	好用|2,2018-10-02,00-00-00,17394,1112,0,10:07纯羊绒超柔双面异色围巾 浅灰色
服装配饰,93,配饰,10:07纯羊绒超柔双面异色围巾（三色）,103739,259.0,7200,259.0,301,0,0,100%羊绒，雅致异色，舒适保暖，柔滑软糯,http://m.youpin.mi.com/shop/detail?gid=103739,00-00-00,https://img.youpin.mi-img.com/800_pic/7df05524cf8143efc32075ce08f282bf.png,		质量好|18	手感佳|15	使用舒适|12	高性价比|8	漂亮美观|6	好用|2,2018-10-02,00-00-00,17395,745,246,10:07纯羊绒超柔双面异色围巾 浅粉色
服装配饰,93,配饰,10:07纯羊绒超柔双面异色围巾（三色）,103739,259.0,7200,259.0,301,0,0,100%羊绒，雅致异色，舒适保暖，柔滑软糯,http://m.youpin.mi.com/shop/detail?gid=103739,00-00-00,https://img.youpin.mi-img.com/800_pic/7df05524cf8143efc32075ce08f282bf.png,		质量好|18	手感佳|15	使用舒适|12	高性价比|8	漂亮美观|6	好用|2,2018-10-02,00-00-00,17393,472,994,10:07纯羊绒超柔双面异色围巾 深灰色
服装配饰,93,配饰,10:07纯羊绒经典纯色流苏围巾披肩,103741,499.0,7200,499.0,301,0,0,100%羊绒，加大加厚，舒适保暖，亲肤透气,http://m.youpin.mi.com/shop/detail?gid=103741,00-00-00,https://img.youpin.mi-img.com/800_pic/566ca7e4a0b3b9ef769513bdf59b983c.png,		质量好|3	手感佳|2	漂亮美观|2	好用|1	包装不好|1,2018-09-30,00-00-00,17398,191,558,10:07纯羊绒经典纯色流苏围巾披肩 驼色
服装配饰,93,配饰,10:07纯羊绒经典纯色流苏围巾披肩,103741,499.0,7200,499.0,301,0,0,100%羊绒，加大加厚，舒适保暖，亲肤透气,http://m.youpin.mi.com/shop/detail?gid=103741,00-00-00,https://img.youpin.mi-img.com/800_pic/566ca7e4a0b3b9ef769513bdf59b983c.png,		质量好|3	手感佳|2	漂亮美观|2	好用|1	包装不好|1,2018-09-30,00-00-00,17397,222,901,10:07纯羊绒经典纯色流苏围巾披肩 浅灰色
服装配饰,93,配饰,W.W羊毛毡爵士礼帽（两色）,103555,99.0,7200,79.0,301,0,0,100%澳洲羊毛，英伦复古，造型多变,http://m.youpin.mi.com/shop/detail?gid=103555,00-00-00,https://img.youpin.mi-img.com/800_pic/b85e3ad6c926dc4a78ab586e626169c5.png,		质量好|5	高性价比|2	手感佳|1	漂亮美观|1,2018-09-06,00-00-00,16464,205,278,羊毛毡爵士礼帽-驼色
服装配饰,93,配饰,W.W羊毛毡爵士礼帽（两色）,103555,99.0,7200,79.0,301,0,0,100%澳洲羊毛，英伦复古，造型多变,http://m.youpin.mi.com/shop/detail?gid=103555,00-00-00,https://img.youpin.mi-img.com/800_pic/b85e3ad6c926dc4a78ab586e626169c5.png,		质量好|5	高性价比|2	手感佳|1	漂亮美观|1,2018-09-06,00-00-00,16463,406,67,羊毛毡爵士礼帽-黑色
服装配饰,93,配饰,MITOWN LIFE原创经典棒球帽,103840,59.0,7200,59.0,301,0,0,极简设计，立体剪裁，休闲时尚,http://m.youpin.mi.com/shop/detail?gid=103840,00-00-00,https://img.youpin.mi-img.com/800_pic/70e422e531d5f9785944e95da29ef2ff.png,		质量好|36	高性价比|22	漂亮美观|16	使用舒适|9	尺码贴合|4	做工精致|3	手感佳|2	好用|1	不够舒适|1,2018-10-01,00-00-00,17968,881,0,MITOWNLIFE 原创经典棒球帽 浅灰色
服装配饰,93,配饰,MITOWN LIFE原创经典棒球帽,103840,59.0,7200,59.0,301,0,0,极简设计，立体剪裁，休闲时尚,http://m.youpin.mi.com/shop/detail?gid=103840,00-00-00,https://img.youpin.mi-img.com/800_pic/70e422e531d5f9785944e95da29ef2ff.png,		质量好|36	高性价比|22	漂亮美观|16	使用舒适|9	尺码贴合|4	做工精致|3	手感佳|2	好用|1	不够舒适|1,2018-10-01,00-00-00,17969,1799,0,MITOWNLIFE 原创经典棒球帽 黑色
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6164,1925,131,七面植鞣皮黄铜扣手工皮带 黑色 （XXL/36码）
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6163,2489,204,七面植鞣皮黄铜扣手工皮带 黑色 （XL/34码）
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6166,2320,75,七面植鞣皮黄铜扣手工皮带 棕色 （M/30码）
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6165,1005,67,七面植鞣皮黄铜扣手工皮带 棕色 （S/28码）
