index,物料,choosed_sku,渠道,choosed_channel,chayi_huizong,attrs,channel,paiming
运动南中北,风格,运动,南中北,中,0.144490581,fengge,nzb,207
运动面积段,风格,运动,面积段,"(400,600]",0.140513732,fengge,area_rank,215
运动省市级别,风格,运动,省市级别,镇级,0.129162602,fengge,provi_rank,230
运动城市级别,风格,运动,城市级别,四线,0.128154833,fengge,city_rank,232
运动南中北,风格,运动,南中北,南,0.119070299,fengge,nzb,256
运动模式,风格,运动,模式,NULL,0.107453333,fengge,moshi_rank,287
运动面积段,风格,运动,面积段,"(800,3e+03]",0.10665538,fengge,area_rank,290
运动省市级别,风格,运动,省市级别,省级,0.105501471,fengge,provi_rank,294
运动模式,风格,运动,模式,商超,0.101677207,fengge,moshi_rank,309
运动城市级别,风格,运动,城市级别,二线,0.096484285,fengge,city_rank,326
运动城市级别,风格,运动,城市级别,一线,0.093497219,fengge,city_rank,340
运动省市级别,风格,运动,省市级别,地级,0.089565857,fengge,provi_rank,356
运动面积段,风格,运动,面积段,"(200,400]",0.087232887,fengge,area_rank,365
运动南中北,风格,运动,南中北,北,0.08247378,fengge,nzb,387
运动省市级别,风格,运动,省市级别,县级,0.08233414,fengge,provi_rank,391
运动城市级别,风格,运动,城市级别,三线,0.070922738,fengge,city_rank,431
运动面积段,风格,运动,面积段,"[0,200]",0.068657933,fengge,area_rank,434
运动模式,风格,运动,模式,地铺,0.066810283,fengge,moshi_rank,449
都市面积段,风格,都市,面积段,"(800,3e+03]",0.116019016,fengge,area_rank,261
都市城市级别,风格,都市,城市级别,特一线,0.095556825,fengge,city_rank,328
都市面积段,风格,都市,面积段,"(600,800]",0.08218915,fengge,area_rank,392
都市模式,风格,都市,模式,特卖,0.079712108,fengge,moshi_rank,404
都市面积段,风格,都市,面积段,"(400,600]",0.07826928,fengge,area_rank,408
都市省市级别,风格,都市,省市级别,省级,0.071647524,fengge,provi_rank,428
都市南中北,风格,都市,南中北,南,0.067515546,fengge,nzb,444
都市省市级别,风格,都市,省市级别,地级,0.063269817,fengge,provi_rank,458
都市城市级别,风格,都市,城市级别,二线,0.057732969,fengge,city_rank,492
都市南中北,风格,都市,南中北,北,0.050661282,fengge,nzb,531
都市城市级别,风格,都市,城市级别,一线,0.050134866,fengge,city_rank,534
都市模式,风格,都市,模式,SPM,0.050013935,fengge,moshi_rank,536
都市省市级别,风格,都市,省市级别,直辖,0.048082876,fengge,provi_rank,552
都市模式,风格,都市,模式,地铺,0.045331409,fengge,moshi_rank,568
都市模式,风格,都市,模式,商超,0.04255093,fengge,moshi_rank,578
都市省市级别,风格,都市,省市级别,县级,0.03989807,fengge,provi_rank,591
都市城市级别,风格,都市,城市级别,三线,0.039673141,fengge,city_rank,592
都市面积段,风格,都市,面积段,"(200,400]",0.03907298,fengge,area_rank,597
都市模式,风格,都市,模式,NULL,0.038628687,fengge,moshi_rank,598
都市省市级别,风格,都市,省市级别,镇级,0.036179385,fengge,provi_rank,608
都市面积段,风格,都市,面积段,"[0,200]",0.032657215,fengge,area_rank,620
都市南中北,风格,都市,南中北,中,0.031846506,fengge,nzb,621
都市城市级别,风格,都市,城市级别,四线,0.029271029,fengge,city_rank,631
1化纤模式,面料,1化纤,模式,特卖,0.675627279,mianliao,moshi_rank,1
1化纤模式,面料,1化纤,模式,NULL,0.314417059,mianliao,moshi_rank,45
1化纤南中北,面料,1化纤,南中北,南,0.313820018,mianliao,nzb,46
1化纤城市级别,面料,1化纤,城市级别,特一线,0.304377262,mianliao,city_rank,49
1化纤城市级别,面料,1化纤,城市级别,一线,0.301752842,mianliao,city_rank,53
1化纤面积段,面料,1化纤,面积段,"(600,800]",0.29889978,mianliao,area_rank,55
1化纤面积段,面料,1化纤,面积段,"(800,3e+03]",0.288225268,mianliao,area_rank,56
1化纤省市级别,面料,1化纤,省市级别,省级,0.276317676,mianliao,provi_rank,60
1化纤省市级别,面料,1化纤,省市级别,地级,0.25878891,mianliao,provi_rank,66
1化纤省市级别,面料,1化纤,省市级别,直辖,0.256713995,mianliao,provi_rank,67
1化纤面积段,面料,1化纤,面积段,"[0,200]",0.247772308,mianliao,area_rank,72
1化纤面积段,面料,1化纤,面积段,"(200,400]",0.243772782,mianliao,area_rank,74
1化纤城市级别,面料,1化纤,城市级别,二线,0.238692027,mianliao,city_rank,77
1化纤省市级别,面料,1化纤,省市级别,镇级,0.229297684,mianliao,provi_rank,83
1化纤城市级别,面料,1化纤,城市级别,四线,0.228339701,mianliao,city_rank,85
1化纤模式,面料,1化纤,模式,SPM,0.226153352,mianliao,moshi_rank,87
1化纤南中北,面料,1化纤,南中北,北,0.224800561,mianliao,nzb,91
1化纤模式,面料,1化纤,模式,地铺,0.204284145,mianliao,moshi_rank,112
1化纤面积段,面料,1化纤,面积段,"(400,600]",0.182818557,mianliao,area_rank,145
1化纤南中北,面料,1化纤,南中北,中,0.177355952,mianliao,nzb,151
1化纤模式,面料,1化纤,模式,商超,0.171902667,mianliao,moshi_rank,159
1化纤省市级别,面料,1化纤,省市级别,县级,0.16442452,mianliao,provi_rank,178
1化纤城市级别,面料,1化纤,城市级别,三线,0.158999014,mianliao,city_rank,189
1印花面积段,面料,1印花,面积段,"(800,3e+03]",0.482265152,mianliao,area_rank,6
1印花面积段,面料,1印花,面积段,"(600,800]",0.440804377,mianliao,area_rank,15
1印花城市级别,面料,1印花,城市级别,特一线,0.308066611,mianliao,city_rank,48
1印花省市级别,面料,1印花,省市级别,直辖,0.268227779,mianliao,provi_rank,65
1印花南中北,面料,1印花,南中北,中,0.232534734,mianliao,nzb,80
1印花面积段,面料,1印花,面积段,"(400,600]",0.232023414,mianliao,area_rank,81
1印花模式,面料,1印花,模式,商超,0.231443092,mianliao,moshi_rank,82
1印花城市级别,面料,1印花,城市级别,二线,0.218919254,mianliao,city_rank,95
1印花模式,面料,1印花,模式,SPM,0.214136907,mianliao,moshi_rank,103
