id,name,type,address,location,pname,cityname,adname,city
B0FFJ3614R,森马,购物服务;服装鞋帽皮具店;品牌服装店,东胜东路79附近,111.198568,40.277739,内蒙古自治区,呼和浩特市,托克托县,内蒙古自治区
B0FFIZUK7R,森马,购物服务;服装鞋帽皮具店;品牌服装店,新华街与盛乐街交叉口东北100米,111.825645,40.382708,内蒙古自治区,呼和浩特市,和林格尔县,内蒙古自治区
B0FFIKBXWX,森马(维多利商厦店),购物服务;服装鞋帽皮具店;品牌服装店,中山西路39号维多利商厦F1,111.668448,40.815367,内蒙古自治区,呼和浩特市,回民区,内蒙古自治区
B0FFIB9XYG,森马(购物中心),购物服务;服装鞋帽皮具店;品牌服装店,锡林郭勒北路110号附近,111.669277,40.817984,内蒙古自治区,呼和浩特市,回民区,内蒙古自治区
B01D702ECS,森马(贝尔路南巷店),购物服务;服装鞋帽皮具店;品牌服装店,中山西路7号民族商场B座F1层,111.666216,40.814337,内蒙古自治区,呼和浩特市,回民区,内蒙古自治区
B0FFFYARJN,森马(盛乐街店),购物服务;服装鞋帽皮具店;品牌服装店,城关镇盛乐街晟隆·财富广场,111.825248,40.380410,内蒙古自治区,呼和浩特市,和林格尔县,内蒙古自治区
B01D70OZGX,森马(托克托县农牧业局西南),购物服务;服装鞋帽皮具店;品牌服装店,云中中路(托克托县农牧业局西南),111.199557,40.275465,内蒙古自治区,呼和浩特市,托克托县,内蒙古自治区
B0FFG0972Y,森马(贝尔路南巷店),购物服务;服装鞋帽皮具店;品牌服装店,中山西路与锡林郭勒北路交叉口维多利购物中心2层,111.668368,40.815467,内蒙古自治区,呼和浩特市,回民区,内蒙古自治区
B0FFKQX4ZI,金川森马店,购物服务;购物相关场所;购物相关场所,新天地底商109金川森马店,111.538948,40.783754,内蒙古自治区,呼和浩特市,土默特左旗,内蒙古自治区
B0FFK6GOD3,森马,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,中兴路六桂福珠宝旁,122.830843,41.996815,辽宁省,沈阳市,新民市,辽宁省
B00180HTRA,森马,购物服务;服装鞋帽皮具店;品牌服装店,辽河大街117号(华都宾馆北),122.830404,41.993542,辽宁省,沈阳市,新民市,辽宁省
B0FFGK9XZ2,森马(兴隆大家庭店),购物服务;服装鞋帽皮具店;品牌服装店,中街路115号兴隆大家庭F1层,123.455632,41.801301,辽宁省,沈阳市,沈河区,辽宁省
