id,品牌,名称,省份,城市,区县,地址,属性,经纬度,距离
B01FE19S9N,森马,森马(兴港南路),江苏省,无锡市,锡山区,东港镇港下步行街兴港路3号,成人,"120.552243,31.699048",902
B01FE15UQQ,森马,森马(振祁路),江苏省,无锡市,惠山区,振祁路中国银行北100米,成人,"120.183978,31.712649",2546
B01FE0K4MR,森马,森马(幸福南路店),江苏省,无锡市,江阴市,幸福南路14号,成人,"120.546088,31.773677",534
B01FE0IOFP,森马,森马(利中街店),江苏省,无锡市,江阴市,利中街202号,成人,"120.083252,31.917654",4221
B01FE03DOC,森马,森马(文林镇人民政府北),江苏省,无锡市,江阴市,文林镇人民中路18-40号,成人,"120.404444,31.718586",2398
B01FE03DOB,森马,森马(华新西路店),江苏省,无锡市,宜兴市,张渚镇人民南路92号,成人,"119.633066,31.263630",958
B01FE02VS2,森马,森马(旌阳南路),江苏省,无锡市,江阴市,青阳镇旌阳南路6号,成人,"120.254765,31.764217",1532
B01FE02VRZ,森马,森马(江阴市长泾镇人民政府东北),江苏省,无锡市,江阴市,文化路18号,成人,"120.483424,31.748421",2799
B00190AJIC,森马,森马(金年华广场店),江苏省,南京市,六合区,新华路528号金年华广场F3层,成人,"118.764146,32.231865",2121
B020705OSP,森马,森马(延陵东路店),江苏省,常州市,武进区,延陵东路173-4号(近戚墅堰大街),成人,"120.065341,31.721569",1476
B020705LGG,森马,森马(南大街商业步行街店),江苏省,常州市,钟楼区,南大街步行街114-116号,成人,"119.955095,31.777329",2206
B0207024QW,森马,森马(东门大街西),江苏省,常州市,金坛区,东门大街204-1,成人,"119.576333,31.744164",1030
B0207024QT,森马,森马(八佰伴店),江苏省,常州市,溧阳市,振兴路与西大街交叉口东北50米,成人,"119.485272,31.425642",1517
B0207024QS,森马,森马(溧阳市价格认证中心南),江苏省,常州市,溧阳市,西大街14号(溧阳市价格认证中心南),成人,"119.489625,31.428413",1430
B020601T7Z,森马,森马(栖霞路步行街店),江苏省,连云港市,连云区,栖霞路19-7号,成人,"119.369680,34.742248",4218
B020601POM,森马,森马(中源购物中心西),江苏省,连云港市,灌云县,胜利中路236号附近,成人,"119.255809,34.297901",660
B001908HTB,森马,森马(凤凰大街),江苏省,南京市,浦口区,凤凰大街11-2号(南京市浦口区卫生局东南),成人,"118.625927,32.057873",586
B001905NLH,森马,森马(达家巷店),江苏省,南京市,六合区,长江路15-4号,成人,"118.840849,32.342469",2636
B020705OJL,森马,森马(东南路店),江苏省,常州市,天宁区,新港北路7号森马仓库,成人,"120.013638,31.734798",1518
B02010VRJ2,森马,森马(朝阳路店),江苏省,南通市,海门市,余东森马专卖(朝阳路91号)余东森马店,成人,"121.359898,32.020455",388
B020503287,森马,森马(淮安市淮安区房地产管理处东北),江苏省,淮安市,淮安区,西长街287号,成人,"119.141474,33.507404",2164
B02040QX1H,森马,森马(欢乐买百货),江苏省,徐州市,邳州市,青年东路5号欢乐买百货F4层,成人,"117.962198,34.309802",3110
B020403JOF,森马,森马(金地商都),江苏省,徐州市,鼓楼区,中山北路6号金地商都F3层,成人,"117.187126,34.268458",4514
B020315H0X,森马,森马(夏维怡购物中心东南),江苏省,盐城市,建湖县,人民北路88附近,成人,"120.019588,33.537363",2624
B020302LVT,森马,森马(海陵中路店),江苏省,盐城市,东台市,海陵中路3-8号,成人,"120.319865,32.848472",3691
B02020JE6U,森马,森马(宝应县防汛防旱指挥部南),江苏省,扬州市,宝应县,安宜镇叶挺路7号(宝应县防汛防旱指挥部南),成人,"119.319504,33.236667",2384
B02020HQ93,森马,森马(盂城路店),江苏省,扬州市,高邮市,通湖路199-113号(近盂城路),成人,"119.442726,32.785447",2977
B02010VRSI,森马,森马(安利海门新世纪大楼东),江苏省,南通市,海门市,高新区解放中路939号亚萍国际二楼,成人,"121.170015,31.893651",3576
B02010TPH9,森马,森马(南通八仙城二店),江苏省,南通市,崇川区,印象城负一楼,成人,"120.867463,32.016604",993
B020105ZS9,森马,森马(解放中路),江苏省,南通市,海门市,解放中路1008-1100号,成人,"121.167718,31.893158",842
B020104QOU,森马,森马(南通八仙城一店),江苏省,南通市,崇川区,八仙城21169号(八仙城商务楼西北),成人,"120.867276,32.015137",2356
B01FF0NULA,森马,森马(丹阳新民东路二店),江苏省,镇江市,丹阳市,云阳镇新民东路66号,成人,"119.576201,31.991536",3527
B01FE19R2X,森马,森马(嘉和广场店),江苏省,无锡市,新吴区,嘉禾广场170号,成人,"120.431143,31.546721",771
B01FE1664K,森马,森马(军民路店),江苏省,无锡市,滨湖区,华庄军民路40号,成人,"120.346914,31.480160",4159
B01FE162HN,森马,森马(振发路店),江苏省,无锡市,新吴区,硕放街道振发路62号,成人,"120.449285,31.478378",3380
B0FFHFQV4G,森马,森马(句容帕缇亚购物广场二店),江苏省,镇江市,句容市,拍地亚购物广场森马专卖店2楼,成人,"119.173141,31.944694",2599
B0206028P7,森马,森马(新安店),江苏省,连云港市,灌南县,新安商城B7-9号森马店,成人,"119.351898,34.090131",180
B020202BK7,森马,森马(盂城路店),江苏省,扬州市,高邮市,环城路31号森马,成人,"119.441549,32.786514",2479
B02010XPZE,森马,森马纺织,江苏省,南通市,海安市,白甸镇白甸工业园区建设路8号,成人,"120.269360,32.675380",2003
B0FFI6PVXO,森马,苏州森马集成店,江苏省,苏州市,姑苏区,邵磨针巷66号,成人,"120.620676,31.310431",3688
B0FFKOSAP7,森马,玉祁森马一店,江苏省,无锡市,惠山区,玉祁镇振祁路50-21号,成人,"120.184266,31.711927",1399
B0FFG90XBV,森马,森马唐狮特卖场,江苏省,扬州市,仪征市,国庆路400-32号,成人,"119.181088,32.273669",2205
B0FFG30ION,森马,森马纺织南通销售部,江苏省,南通市,崇川区,观音山镇通甲路1083号,成人,"120.944970,32.007153",4161
B0FFJMF0RE,森马,观中森马店,江苏省,苏州市,姑苏区,观前街道观前街(海澜之家对面),成人,"120.624162,31.311088",3118
B0FFL6XVI7,森马,森马全场清仓特卖,江苏省,徐州市,邳州市,[],成人,"117.907281,34.324259",410
B0FFKPDLCG,森马,森马专卖店巴拉巴拉专卖店,江苏省,无锡市,新吴区,梅村镇嘉禾广场168-171号森马专卖店,成人,"120.431024,31.546439",3636
B0FFK6FKTV,森马,森马,浙江省,丽水市,青田县,安定东路与繁华南路交叉口西南100米,成人,"120.388601,28.156817",950
B0FFK44PDG,森马,森马,浙江省,温州市,鹿城区,五马步行街五马街126号,成人,"120.659629,28.012388",1840
B0FFJAKSHX,森马,森马,浙江省,绍兴市,柯桥区,笛扬路与笛扬路商业步行街交叉口东北50米,成人,"120.477745,30.065180",2251
B0FFIWE3FK,森马,森马,浙江省,湖州市,安吉县,城关路商铺084号附近,成人,"119.555264,30.589564",1338
B0FFIVBOLQ,森马,森马,浙江省,宁波市,鄞州区,五乡西路与金腾路交叉口北50米,成人,"121.671397,29.848664",509
B0FFIS4RF4,森马,森马,浙江省,衢州市,江山市,解放路25-5号附近,成人,"118.626134,28.735189",2839
B0FFI1CWXX,森马,森马,浙江省,金华市,永康市,长城工业区铜陵西路128号,成人,"120.076682,28.905094",1014
B0FFI0SZTH,森马,森马,浙江省,丽水市,松阳县,要津路4号,成人,"119.489795,28.448461",3526
B0FFHRVCB9,森马,森马,浙江省,嘉兴市,海宁市,长安镇盐仓开发区之江路5号,成人,"120.420715,30.383836",2940
B0FFHDN7SQ,森马,森马,浙江省,温州市,瓯海区,娄桥工业区森茂路1号,成人,"120.598777,27.947312",438
B0FFH65ET8,森马,森马,浙江省,台州市,温岭市,牧横路91号附近,成人,"121.350468,28.455754",1065
B0FFKDW64J,森马,森马,浙江省,温州市,永嘉县,双塔路1154-1156号,成人,"120.653430,28.040646",3899
B0FFKDS6FH,森马,森马,浙江省,丽水市,莲都区,成大街与遂松路交叉口东50米,成人,"119.857086,28.408793",2778
B0FFL83649,森马,森马,浙江省,金华市,金东区,朝晖西路4号西南50米,成人,"119.872508,29.176802",2381
B0FFL5JVR7,森马,森马,浙江省,温州市,乐清市,环城东路537号附近,成人,"120.910705,28.042142",2136
B0FFL2S0UC,森马,森马,浙江省,丽水市,缙云县,溪东北路16号1-3附近,成人,"120.255726,28.806828",3473
B0FFL2IBS0,森马,森马,浙江省,杭州市,余杭区,南渠北路89号附近,成人,"119.938175,30.272830",4596
B0FFKTKRV0,森马,森马,浙江省,嘉兴市,嘉善县,西塘镇邮电西路17号,成人,"120.895402,30.943625",2858
B0FFK8TEMU,森马,森马,浙江省,丽水市,庆元县,松源街与石龙街交叉口西南50米,成人,"119.063471,27.618938",4300
B0FFK7P5GU,森马,森马,浙江省,温州市,鹿城区,前陈路88-1号附近,成人,"120.582911,28.020649",285
B0FFK3N04D,森马,森马,浙江省,丽水市,莲都区,中山街473-475号,成人,"119.913472,28.450019",1159
B0FFJHJOUG,森马,森马,浙江省,杭州市,拱墅区,世纪联华负一楼,成人,"120.120728,30.308498",3763
B0FFJDV23A,森马,森马,浙江省,温州市,泰顺县,新城大道泰顺开太百货1层客服中心旁,成人,"119.718935,27.542581",623
B0FFJ92O9C,森马,森马,浙江省,温州市,永嘉县,月湖路与河田中路交叉口北100米,成人,"120.621292,28.037903",2321
B0FFIWPNPW,森马,森马,浙江省,湖州市,长兴县,泗安镇凤凰城新城路49号,成人,"119.659446,30.900720",3128
B0FFIS3R1Q,森马,森马,浙江省,温州市,乐清市,翁垟镇镇西中路15号,成人,"120.967882,28.025938",1604
B0FFIJGHRR,森马,森马,浙江省,温州市,瓯海区,月乐西街与花园路交叉口西50米,成人,"120.668942,27.973956",4491
B0FFI6EWCH,森马,森马,浙江省,温州市,鹿城区,鞋都一区温金路1000号时尚港一楼,成人,"120.590810,28.036599",257
B0FFI658HF,森马,森马,浙江省,台州市,温岭市,文化路78号,成人,"121.602820,28.342590",3408
B0FFHIKQIX,森马,森马,浙江省,温州市,瑞安市,仙降镇革兴东街54号,成人,"120.550238,27.788033",1891
B0FFHCFOMK,森马,森马,浙江省,温州市,瑞安市,飞云街133号-135号,成人,"120.616698,27.767432",2323
B0FFH6553D,森马,森马,浙江省,嘉兴市,嘉善县,人民路与兴贤路交叉口东50米,成人,"120.805962,30.892940",394
