first_category_code,first_category_name,second_category_code,second_category_name,productName,littlecode,sales,mainPic,season,originPrice,preSaleName,littlename,minPrice,sex,styleText,material,categoryCode,productCode,label,size
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 (UT) Hokusai Blue印花T恤(短袖) 416193,416193,13,/hmall/test/u0000000004375/main/first/561/1.jpg,2019年夏季,99.0,,(UT) Hokusai Blue印花T恤(短袖),99.0,男装,['01 乳白色'],棉,"['1299907040', '1151178896', '1298155770', '1418289009', '1419837874', '1421456913', 'ALL']",u0000000004375,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 (UT) Hokusai Blue印花T恤(短袖) 416192,416192,13,/hmall/test/u0000000004373/main/first/561/1.jpg,2019年夏季,99.0,,(UT) Hokusai Blue印花T恤(短袖),99.0,【特别尺码】男装,"['01 乳白色', '62 粉蓝色']",棉,"['1299907040', '1151178896', '1292499992', '1298155770', '1418289009', '1419837874', '1421456913', 'ALL']",u0000000004373,new_product,['SMA007']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 (UT) Hokusai Blue印花T恤(短袖) 416191,416191,11,/hmall/test/u0000000004342/main/first/561/1.jpg,2019年夏季,99.0,,(UT) Hokusai Blue印花T恤(短袖),99.0,【特别尺码】男装,['01 乳白色'],棉,"['1299907040', '1151178896', '1292499992', '1298155770', '1418289009', '1419837874', '1421456913', 'ALL']",u0000000004342,new_product,"['SMA007', 'SMA008']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 (UT) Hokusai Blue印花T恤(短袖) 416191,416191,32,/hmall/test/u0000000004353/main/first/561/1.jpg,2019年夏季,99.0,,(UT) Hokusai Blue印花T恤(短袖),99.0,男装,['01 乳白色'],棉,"['1299907040', '1151178896', '1298155770', '1419837874', '1421456913', 'ALL', '1418289009']",u0000000004353,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 (UT) Hokusai Blue印花运动衫 416119,416119,7,/hmall/test/u0000000004328/main/first/561/1.jpg,2019年春季,199.0,,(UT) Hokusai Blue印花运动衫,199.0,【特别尺码】男装,['63 天蓝色'],棉,"['1299907040', '1006610470', '1292499992', '1298155770', '1334904291', '1418289009', '1419837874', '1421456913', 'ALL']",u0000000004328,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 (UT) Hokusai Blue印花运动衫 416119,416119,5,/hmall/test/u0000000004288/main/first/561/1.jpg,2019年春季,199.0,,(UT) Hokusai Blue印花运动衫,199.0,男装,['63 天蓝色'],棉,"['1299907040', '1006610470', '1298155770', '1334904291', '1418289009', '1419837874', '1421456913', 'ALL']",u0000000004288,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 (UT) Hokusai Blue印花运动衫 416118,416118,9,/hmall/test/u0000000004272/main/first/561/1.jpg,2019年春季,199.0,,(UT) Hokusai Blue印花运动衫,199.0,【特别尺码】男装,['69 藏青色'],棉,"['1421456913', 'ALL', '1299907040', '1006610470', '1292499992', '1298155770', '1334904291', '1418289009', '1419837874']",u0000000004272,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 (UT) Hokusai Blue印花运动衫 416118,416118,14,/hmall/test/u0000000004236/main/first/561/1.jpg,2019年春季,199.0,,(UT) Hokusai Blue印花运动衫,199.0,男装,['69 藏青色'],棉,"['1299907040', '1006610470', '1298155770', '1334904291', '1418289009', '1419837874', '1421456913', 'ALL']",u0000000004236,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 SUPIMA COTTON袜子 414072,414072,140,/hmall/test/u0000000005112/main/first/561/1.jpg,2019年春季,27.0,,SUPIMA COTTON袜子,27.0,男装,"['01 乳白色', '03 灰色', '08 深灰色', '09 黑色', '64 湖蓝色', '91 任意色']",棉,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', '874111128', 'ALL']",u0000000005112,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 SUPIMA COTTON针织短裤(低腰) 414986,414986,109,/hmall/test/u0000000005020/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(低腰),40.0,男装,"['08 深灰色', '69 藏青色']",棉,"['1421456913', 'ALL', '368897610', '874111128', '1419837874']",u0000000005020,new_product,"['SMA003', 'SMA004', 'SMA005', 'SMA006']"
