frontDesc,category_id,category_name,superCategoryId,colorNum,counterPrice,item_id,primaryPicUrl,name,simpleDesc,retailPrice,sellVolume,material,style,comment
运动生活两相宜,109202000,Yessing上装,1010000,0,349,1584016,https://yanxuan.nosdn.127.net/a368b7397f7d169cef3820c36e2794a6.jpg,Yessing男式时尚轻感渔夫夹克卫衣,潮流渔夫夹克，舒适有型,349,900,,,漂亮精致 质量上乘 很舒服
运动生活两相宜,109202000,Yessing上装,1010000,0,199,1572016,https://yanxuan.nosdn.127.net/f6f42cffcf4dca324739b51a0b19438b.jpg,Yessing女式时尚花纱蝙蝠袖卫衣T恤,【明星推荐】秋季蝙蝠袖卫衣T恤,159,3956,聚酯纤维 49% 锦纶 38% 氨纶 13%,,很舒服 质量上乘 漂亮精致 款式不错 尺寸合适 颜色好看 显瘦
运动生活两相宜,109202000,Yessing上装,1010000,0,349,1587000,https://yanxuan.nosdn.127.net/3f5700d9b322444caa61039e1e0a8ce4.jpg,Yessing女式连帽单车夹克,浮水设计，创造仙女气质,349,3535,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,349,1584025,https://yanxuan.nosdn.127.net/b27b321bbe4816272ac3cf5cd772484e.png,Yessing男式连帽单车夹克,定义更轻巧的秋季夹克,349,2519,大身面料： 锦纶85% 氨纶15% 网眼面料：聚酯纤维 100% 帽里网布：聚酯纤维 100%,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,1584020,https://yanxuan.nosdn.127.net/fdafe44f8e13626a452764a03199ac08.jpg,Yessing男式秋季棒球领夹克,每个男生都改有的秋季棒球服,259,2318,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,1585012,https://yanxuan.nosdn.127.net/ea1a4bf671ecb5dfc9872667019ef11d.jpg,Yessing女式秋季百搭棒球领夹克,合体舒适，时尚棒球夹克,259,4357,,,漂亮精致 质量上乘 款式不错 很舒服
运动生活两相宜,109202000,Yessing上装,1010000,0,109,1574012,https://yanxuan.nosdn.127.net/9b6a9d596ef6cc528a97f9a8ddd128ac.jpg,Yessing女式高支高密圆领塑形T恤,高支高密，专属舒适定制,89,271,84% 锦纶 16% 氨纶,,质量上乘 很舒服 面料好 颜色好看 漂亮精致
运动生活两相宜,109202000,Yessing上装,1010000,0,109,1586015,https://yanxuan.nosdn.127.net/9195a92ec28f7d04017ec8b256270b02.jpg,Yessing男式高支高密圆领亲肤T恤,舒适打底，上手就觉得贵的面料,89,638,84% 锦纶 16% 氨纶,,质量上乘 很舒服 面料好 漂亮精致 性价比高 包装用心 穿着不错 手感好
运动生活两相宜,109202000,Yessing上装,1010000,0,229,1623021,https://yanxuan.nosdn.127.net/bfebef210afc07091bff2c08fc13b483.png,Yessing男式高支高密织带套头卫衣,【做精致男生】精选高质感消光纤维，品味出众,199,2171,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,229,1624013,https://yanxuan.nosdn.127.net/01d20f7c00c3268129c850186be4b0e2.jpg,Yessing女式时尚拼色蝙蝠袖卫衣,蝙蝠显瘦设计，为魅力加分,209,2834,,,
