frontDesc,category_id,category_name,superCategoryId,colorNum,counterPrice,item_id,primaryPicUrl,name,simpleDesc,retailPrice,sellVolume,material,style,comment
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,279,1666043,https://yanxuan.nosdn.127.net/45a59437d2b66b96aaeb6e91da44eaae.jpg,女式时尚加绒保暖针织裤,织带时尚，以线条分割层次 ,199,446,,优雅、运动休闲,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,249,1652005,https://yanxuan.nosdn.127.net/bd8e77d362c4a3ff7ba77bcc134e29b8.jpg,女式百搭加绒保暖针织裤,加绒冬裤，不用试穿的百搭款,199,2853,,优雅、运动休闲,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,259,1644032,https://yanxuan.nosdn.127.net/a75932fcc7ee02b5be8813159ce33ce2.jpg,女式石墨烯加绒保暖牛仔裤,温度与颜值同行，石墨烯保暖塑形牛仔,199,2799,,优雅、运动休闲,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,1637023,https://yanxuan.nosdn.127.net/37b150d41c67877af3fc1c8541d2a838.png,Yessing男式撞色抓绒连帽卫衣,这一个冬季的流行色是撞色 ,299,415,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,599,1666044,https://yanxuan.nosdn.127.net/8f77680b5ca53e778ba3f313c1087460.jpg,Yessing男式夹克连帽羽绒服,夹克款羽绒服，独占冬天的酷炫,599,1977,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,419,1668003,https://yanxuan.nosdn.127.net/ffc376c1858df3ede338cf8240b31e45.jpg,Yessing面包短款菱形分割羽绒服,多彩面包款，不挑人也不挑搭配 ,419,6000,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,899,1673003,https://yanxuan.nosdn.127.net/1eb4591e6d1c84ecd6d6967d5fb39e51.jpg,Yessing男式中长款廓形羽绒服,简约百搭款，搭配从不是问题,899,0,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,399,1505022,https://yanxuan.nosdn.127.net/72add30fdd98f410f734ba6abd1f26b8.png,女式A字修身运动风连衣裙,数米可见的高级质感，源自花纱面料,399,1112,,都市运动,
运动生活两相宜,109202000,Yessing上装,1010000,0,249,1586013,https://yanxuan.nosdn.127.net/06a236acbdbca5a022d44cfe98cbecaf.png,Yessing百搭修身打底连衣裙,秋冬舒适打底裙，舒适合体,249,2407,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,349,1587018,https://yanxuan.nosdn.127.net/446ad7231e43eef49dfa775daf842d5b.jpg,Yessing秋季显瘦运动风秋季连衣裙,秋季连衣裙，时尚优雅风格,349,1155,大身面料： 锦纶80% 氨纶20% 网布：聚酯纤维 100%,,
运动生活两相宜,109202000,Yessing上装,1010000,0,349,1584016,https://yanxuan.nosdn.127.net/a368b7397f7d169cef3820c36e2794a6.jpg,Yessing男式时尚轻感渔夫夹克卫衣,潮流渔夫夹克，舒适有型,349,882,,,漂亮精致13	质量上乘7	很舒服6
运动生活两相宜,109202000,Yessing上装,1010000,0,199,1572016,https://yanxuan.nosdn.127.net/f6f42cffcf4dca324739b51a0b19438b.jpg,Yessing女式时尚花纱蝙蝠袖卫衣T恤,【明星推荐】秋季蝙蝠袖卫衣T恤,159,3887,聚酯纤维 49% 锦纶 38% 氨纶 13%,,很舒服29	质量上乘19	漂亮精致16	款式不错10	尺寸合适8	颜色好看7	显瘦6	性价比高5
运动生活两相宜,109202000,Yessing上装,1010000,0,349,1587000,https://yanxuan.nosdn.127.net/3f5700d9b322444caa61039e1e0a8ce4.jpg,Yessing女式连帽单车夹克,浮水设计，创造仙女气质,349,3458,,,
