,conditionDay,conditionIdDay,conditionIdNight,conditionNight,humidity,moonphase,moonrise,moonset,predictDate,sunrise,sunset,tempDay,tempNight,updatetime,windDegreesDay,windDegreesNight,windDirDay,windDirNight,windLevelDay,windLevelNight,windSpeedDay,windSpeedNight,cityid,name,pname
0,多云,1,31,多云,50,WaningCrescent,2019-09-28 05:26:00,2019-09-28 18:11:00,2019-09-28,2019-09-28 06:15:00,2019-09-28 18:16:00,33,24,2019-09-28 23:05:00,45,45,东北风,东北风,1,1,0.9,0.9,1000,东莞市,广东省
1,晴,0,30,晴,58,New,2019-09-29 06:31:00,2019-09-29 18:54:00,2019-09-29,2019-09-29 06:16:00,2019-09-29 18:15:00,33,23,2019-09-29 09:05:54,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
2,多云,1,31,多云,54,WaxingCrescent,2019-09-30 07:36:00,2019-09-30 19:37:00,2019-09-30,2019-09-30 06:16:00,2019-09-30 18:14:00,34,24,2019-09-29 09:05:54,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
3,晴,0,30,晴,58,WaxingCrescent,2019-10-01 08:39:00,2019-10-01 20:21:00,2019-10-01,2019-10-01 06:16:00,2019-10-01 18:13:00,34,23,2019-09-29 09:05:54,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
4,多云,1,31,多云,63,WaxingCrescent,2019-10-02 09:42:00,2019-10-02 21:07:00,2019-10-02,2019-10-02 06:17:00,2019-10-02 18:12:00,34,25,2019-09-29 09:05:54,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
5,多云,1,31,多云,67,WaxingCrescent,2019-10-03 10:43:00,2019-10-03 21:54:00,2019-10-03,2019-10-03 06:17:00,2019-10-03 18:11:00,34,25,2019-09-29 09:05:54,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
6,多云,1,31,多云,69,WaxingCrescent,2019-10-04 11:42:00,2019-10-04 22:44:00,2019-10-04,2019-10-04 06:17:00,2019-10-04 18:10:00,34,25,2019-09-29 09:05:54,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
7,多云,1,31,多云,73,WaxingCrescent,2019-10-05 12:38:00,2019-10-05 23:36:00,2019-10-05,2019-10-05 06:18:00,2019-10-05 18:09:00,34,25,2019-09-29 09:05:54,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
8,雨,8,8,雨,74,First,2019-10-06 13:30:00,2019-10-06 00:28:00,2019-10-06,2019-10-06 06:18:00,2019-10-06 18:08:00,31,23,2019-09-29 09:11:00,90,0,东风,北风,3,3,4.4,4.4,1000,东莞市,广东省
9,雨,8,8,雨,72,WaxingGibbous,2019-10-07 14:18:00,2019-10-07 00:28:00,2019-10-07,2019-10-07 06:19:00,2019-10-07 18:07:00,32,23,2019-09-29 09:11:00,90,45,东风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
10,雨,8,31,多云,70,WaxingGibbous,2019-10-08 15:01:00,2019-10-08 01:21:00,2019-10-08,2019-10-08 06:19:00,2019-10-08 18:07:00,31,23,2019-09-29 09:11:00,90,45,东风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
11,多云,1,31,多云,67,WaxingGibbous,2019-10-09 15:41:00,2019-10-09 02:14:00,2019-10-09,2019-10-09 06:19:00,2019-10-09 18:06:00,33,23,2019-09-29 09:11:00,90,45,东风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
12,多云,1,30,晴,70,WaxingGibbous,2019-10-10 16:18:00,2019-10-10 03:05:00,2019-10-10,2019-10-10 06:20:00,2019-10-10 18:05:00,32,23,2019-09-29 09:11:00,45,45,东北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
13,多云,1,31,多云,72,WaxingGibbous,2019-10-11 16:52:00,2019-10-11 03:56:00,2019-10-11,2019-10-11 06:20:00,2019-10-11 18:04:00,32,23,2019-09-29 09:11:00,135,135,东南风,东南风,3,3,4.4,4.4,1000,东莞市,广东省
14,多云,1,31,多云,74,WaxingGibbous,2019-10-12 17:26:00,2019-10-12 04:45:00,2019-10-12,2019-10-12 06:20:00,2019-10-12 18:03:00,32,24,2019-09-29 09:11:00,0,45,北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
15,雨,8,8,雨,68,WaxingGibbous,2019-10-13 17:59:00,2019-10-13 05:35:00,2019-10-13,2019-10-13 06:21:00,2019-10-13 18:02:00,31,23,2019-09-29 09:11:00,45,45,东北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
16,多云,1,30,晴,59,WaningCrescent,2019-09-28 05:28:00,2019-09-28 18:12:00,2019-09-28,2019-09-28 06:17:00,2019-09-28 18:18:00,32,24,2019-09-28 23:05:00,45,45,东北风,东北风,1,1,0.9,0.9,1002,中山市,广东省
17,晴,0,30,晴,66,New,2019-09-29 06:33:00,2019-09-29 18:56:00,2019-09-29,2019-09-29 06:17:00,2019-09-29 18:17:00,33,23,2019-09-29 09:05:53,0,0,北风,北风,1,1,0.9,0.9,1002,中山市,广东省
18,多云,1,31,多云,63,WaxingCrescent,2019-09-30 07:37:00,2019-09-30 19:39:00,2019-09-30,2019-09-30 06:17:00,2019-09-30 18:16:00,34,24,2019-09-29 09:05:53,0,0,北风,北风,1,1,0.9,0.9,1002,中山市,广东省
19,晴,0,30,晴,70,WaxingCrescent,2019-10-01 08:40:00,2019-10-01 20:23:00,2019-10-01,2019-10-01 06:18:00,2019-10-01 18:15:00,34,23,2019-09-29 09:05:53,0,0,北风,北风,1,1,0.9,0.9,1002,中山市,广东省
20,多云,1,31,多云,74,WaxingCrescent,2019-10-02 09:43:00,2019-10-02 21:09:00,2019-10-02,2019-10-02 06:18:00,2019-10-02 18:14:00,33,25,2019-09-29 09:05:53,0,0,北风,北风,1,1,0.9,0.9,1002,中山市,广东省
21,多云,1,31,多云,76,WaxingCrescent,2019-10-03 10:44:00,2019-10-03 21:57:00,2019-10-03,2019-10-03 06:18:00,2019-10-03 18:13:00,33,25,2019-09-29 09:05:53,0,0,北风,北风,1,1,0.9,0.9,1002,中山市,广东省
22,多云,1,31,多云,76,WaxingCrescent,2019-10-04 11:43:00,2019-10-04 22:47:00,2019-10-04,2019-10-04 06:19:00,2019-10-04 18:12:00,33,24,2019-09-29 09:05:53,0,0,北风,北风,1,1,0.9,0.9,1002,中山市,广东省
23,多云,1,31,多云,75,WaxingCrescent,2019-10-05 12:38:00,2019-10-05 23:38:00,2019-10-05,2019-10-05 06:19:00,2019-10-05 18:11:00,32,23,2019-09-29 09:05:53,0,0,北风,北风,1,1,0.9,0.9,1002,中山市,广东省
24,雨,8,8,雨,76,First,2019-10-06 13:30:00,2019-10-06 00:31:00,2019-10-06,2019-10-06 06:19:00,2019-10-06 18:10:00,30,24,2019-09-29 09:11:00,90,0,东风,北风,3,3,4.4,4.4,1002,中山市,广东省
