,conditionDay,conditionIdDay,conditionIdNight,conditionNight,humidity,moonphase,moonrise,moonset,predictDate,sunrise,sunset,tempDay,tempNight,updatetime,windDegreesDay,windDegreesNight,windDirDay,windDirNight,windLevelDay,windLevelNight,windSpeedDay,windSpeedNight,cityid,name,pname
0,雷阵雨,4,33,阵雨,82,WaxingCrescent,2019-07-04 07:00:00,2019-07-04 20:44:00,2019-07-04,2019-07-04 05:44:00,2019-07-04 19:15:00,32,26,2019-07-04 23:05:00,315,315,西北风,西北风,1,1,0.9,0.9,1000,东莞市,广东省
1,雷阵雨,4,33,阵雨,81,WaxingCrescent,2019-07-05 08:05:00,2019-07-05 21:37:00,2019-07-05,2019-07-05 05:44:00,2019-07-05 19:15:00,33,26,2019-07-05 16:05:00,45,45,东北风,东北风,2,2,2.4,2.4,1000,东莞市,广东省
2,雷阵雨,4,31,多云,86,WaxingCrescent,2019-07-06 09:10:00,2019-07-06 22:25:00,2019-07-06,2019-07-06 05:45:00,2019-07-06 19:15:00,33,26,2019-07-05 16:05:00,45,45,东北风,东北风,2,2,2.4,2.4,1000,东莞市,广东省
3,雷阵雨,4,31,多云,88,WaxingCrescent,2019-07-07 10:14:00,2019-07-07 23:10:00,2019-07-07,2019-07-07 05:45:00,2019-07-07 19:15:00,34,27,2019-07-05 16:05:00,45,45,东北风,东北风,2,2,2.4,2.4,1000,东莞市,广东省
4,雷阵雨,4,33,阵雨,88,WaxingCrescent,2019-07-08 11:16:00,2019-07-08 23:51:00,2019-07-08,2019-07-08 05:45:00,2019-07-08 19:15:00,34,28,2019-07-05 16:05:00,45,45,东北风,东北风,2,2,2.4,2.4,1000,东莞市,广东省
5,雷阵雨,4,4,雷阵雨,90,First,2019-07-09 12:16:00,2019-07-09 00:31:00,2019-07-09,2019-07-09 05:46:00,2019-07-09 19:15:00,34,27,2019-07-05 16:05:00,45,45,东北风,东北风,2,2,2.4,2.4,1000,东莞市,广东省
6,雷阵雨,4,4,雷阵雨,90,WaxingGibbous,2019-07-10 13:15:00,2019-07-10 00:31:00,2019-07-10,2019-07-10 05:46:00,2019-07-10 19:14:00,32,27,2019-07-05 16:05:00,45,45,东北风,东北风,2,2,2.4,2.4,1000,东莞市,广东省
7,雷阵雨,4,4,雷阵雨,87,WaxingGibbous,2019-07-11 14:13:00,2019-07-11 01:11:00,2019-07-11,2019-07-11 05:47:00,2019-07-11 19:14:00,32,27,2019-07-05 16:05:00,45,45,东北风,东北风,2,2,2.4,2.4,1000,东莞市,广东省
8,雨,8,2,阴,85,WaxingGibbous,2019-07-12 15:10:00,2019-07-12 01:52:00,2019-07-12,2019-07-12 05:47:00,2019-07-12 19:14:00,32,27,2019-07-05 16:13:00,225,225,西南风,西南风,3-4,3,5.6,4.4,1000,东莞市,广东省
9,雨,8,8,雨,87,WaxingGibbous,2019-07-13 16:08:00,2019-07-13 02:34:00,2019-07-13,2019-07-13 05:47:00,2019-07-13 19:14:00,33,28,2019-07-05 16:13:00,225,180,西南风,南风,4-5,3,8.05,4.4,1000,东莞市,广东省
10,雨,8,8,雨,88,WaxingGibbous,2019-07-14 17:04:00,2019-07-14 03:20:00,2019-07-14,2019-07-14 05:48:00,2019-07-14 19:14:00,32,28,2019-07-05 16:13:00,225,225,西南风,西南风,3-4,3,5.6,4.4,1000,东莞市,广东省
11,雨,8,8,雨,89,WaxingGibbous,2019-07-15 17:59:00,2019-07-15 04:08:00,2019-07-15,2019-07-15 05:48:00,2019-07-15 19:14:00,32,28,2019-07-05 16:13:00,180,180,南风,南风,3,3,4.4,4.4,1000,东莞市,广东省
12,雨,8,8,雨,90,WaxingGibbous,2019-07-16 18:51:00,2019-07-16 04:58:00,2019-07-16,2019-07-16 05:49:00,2019-07-16 19:13:00,31,27,2019-07-05 16:13:00,225,180,西南风,南风,3,3,4.4,4.4,1000,东莞市,广东省
13,雨,8,8,雨,90,Full,2019-07-17 19:39:00,2019-07-17 05:51:00,2019-07-17,2019-07-17 05:49:00,2019-07-17 19:13:00,30,27,2019-07-05 16:13:00,225,180,西南风,南风,3,3,4.4,4.4,1000,东莞市,广东省
