,conditionDay,conditionIdDay,conditionIdNight,conditionNight,humidity,moonphase,moonrise,moonset,predictDate,sunrise,sunset,tempDay,tempNight,updatetime,windDegreesDay,windDegreesNight,windDirDay,windDirNight,windLevelDay,windLevelNight,windSpeedDay,windSpeedNight,cityid,name,pname
0,小雨,7,8,中雨,82,WaningCrescent,2019-05-04 05:29:00,2019-05-04 18:18:00,2019-05-04,2019-05-04 05:50:00,2019-05-04 18:53:00,26,18,2019-05-04 23:04:00,315,315,西北风,西北风,1,1,0.9,0.9,1000,东莞市,广东省
1,大雨,9,8,中雨,92,New,2019-05-05 06:07:00,2019-05-05 19:14:00,2019-05-05,2019-05-05 05:50:00,2019-05-05 18:54:00,22,18,2019-05-05 09:05:00,90,315,东风,西北风,3-4,1,5.6,0.9,1000,东莞市,广东省
2,雷阵雨,4,8,中雨,91,WaxingCrescent,2019-05-06 06:49:00,2019-05-06 20:11:00,2019-05-06,2019-05-06 05:49:00,2019-05-06 18:54:00,23,20,2019-05-05 09:05:00,90,315,东风,西北风,3-4,1,5.6,0.9,1000,东莞市,广东省
3,雷阵雨,4,8,中雨,96,WaxingCrescent,2019-05-07 07:34:00,2019-05-07 21:11:00,2019-05-07,2019-05-07 05:48:00,2019-05-07 18:55:00,23,20,2019-05-05 09:05:00,315,315,西北风,西北风,1,1,0.9,0.9,1000,东莞市,广东省
4,中雨,8,8,中雨,93,WaxingCrescent,2019-05-08 08:25:00,2019-05-08 22:10:00,2019-05-08,2019-05-08 05:48:00,2019-05-08 18:55:00,26,20,2019-05-05 09:05:00,315,315,西北风,西北风,1,1,0.9,0.9,1000,东莞市,广东省
5,大雨,9,33,阵雨,94,WaxingCrescent,2019-05-09 09:20:00,2019-05-09 23:08:00,2019-05-09,2019-05-09 05:47:00,2019-05-09 18:56:00,25,22,2019-05-05 09:05:00,315,315,西北风,西北风,1,1,0.9,0.9,1000,东莞市,广东省
6,多云,1,31,多云,89,WaxingCrescent,2019-05-10 10:19:00,2019-05-10 00:04:00,2019-05-10,2019-05-10 05:47:00,2019-05-10 18:56:00,28,22,2019-05-05 09:05:00,315,315,西北风,西北风,1,1,0.9,0.9,1000,东莞市,广东省
7,多云,1,7,小雨,85,WaxingCrescent,2019-05-11 11:21:00,2019-05-11 00:04:00,2019-05-11,2019-05-11 05:46:00,2019-05-11 18:57:00,28,22,2019-05-05 09:05:00,315,315,西北风,西北风,1,1,0.9,0.9,1000,东莞市,广东省
8,雨,8,8,雨,87,First,2019-05-12 12:24:00,2019-05-12 00:55:00,2019-05-12,2019-05-12 05:46:00,2019-05-12 18:57:00,31,23,2019-05-05 09:11:00,135,90,东南风,东风,3,3,4.4,4.4,1000,东莞市,广东省
9,雨,8,8,雨,86,WaxingGibbous,2019-05-13 13:26:00,2019-05-13 01:43:00,2019-05-13,2019-05-13 05:45:00,2019-05-13 18:58:00,31,23,2019-05-05 09:11:00,135,135,东南风,东南风,3,3,4.4,4.4,1000,东莞市,广东省
10,雨,8,31,多云,90,WaxingGibbous,2019-05-14 14:28:00,2019-05-14 02:28:00,2019-05-14,2019-05-14 05:45:00,2019-05-14 18:58:00,31,24,2019-05-05 09:11:00,180,180,南风,南风,3,3,4.4,4.4,1000,东莞市,广东省
