,conditionDay,conditionIdDay,conditionIdNight,conditionNight,humidity,moonphase,moonrise,moonset,predictDate,sunrise,sunset,tempDay,tempNight,updatetime,windDegreesDay,windDegreesNight,windDirDay,windDirNight,windLevelDay,windLevelNight,windSpeedDay,windSpeedNight,cityid,name,pname
0,中雨,8,4,雷阵雨,85,WaningCrescent,2019-06-01 04:03:00,2019-06-01 17:02:00,2019-06-01,2019-06-01 05:39:00,2019-06-01 19:06:00,29,24,2019-06-01 23:05:00,315,315,西北风,西北风,2,2,2.4,2.4,1000,东莞市,广东省
1,大雨,9,9,大雨,95,WaningCrescent,2019-06-02 04:43:00,2019-06-02 17:59:00,2019-06-02,2019-06-02 05:39:00,2019-06-02 19:07:00,30,24,2019-06-02 15:05:00,0,0,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
2,中雨,8,4,雷阵雨,86,New,2019-06-03 05:27:00,2019-06-03 18:59:00,2019-06-03,2019-06-03 05:39:00,2019-06-03 19:07:00,30,24,2019-06-02 15:05:00,0,0,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
3,雷阵雨,4,4,雷阵雨,84,WaxingCrescent,2019-06-04 06:17:00,2019-06-04 20:00:00,2019-06-04,2019-06-04 05:39:00,2019-06-04 19:08:00,30,25,2019-06-02 15:05:00,0,0,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
4,中雨,8,31,多云,86,WaxingCrescent,2019-06-05 07:12:00,2019-06-05 21:01:00,2019-06-05,2019-06-05 05:39:00,2019-06-05 19:08:00,30,26,2019-06-02 15:05:00,0,0,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
5,雷阵雨,4,31,多云,84,WaxingCrescent,2019-06-06 08:11:00,2019-06-06 21:59:00,2019-06-06,2019-06-06 05:39:00,2019-06-06 19:08:00,31,26,2019-06-02 15:05:00,0,0,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
6,雷阵雨,4,31,多云,83,WaxingCrescent,2019-06-07 09:14:00,2019-06-07 22:53:00,2019-06-07,2019-06-07 05:39:00,2019-06-07 19:09:00,32,26,2019-06-02 15:05:00,0,0,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
7,雷阵雨,4,4,雷阵雨,82,WaxingCrescent,2019-06-08 10:17:00,2019-06-08 23:42:00,2019-06-08,2019-06-08 05:39:00,2019-06-08 19:09:00,33,27,2019-06-02 15:05:00,0,0,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
8,雨,8,8,雨,88,WaxingCrescent,2019-06-09 11:20:00,2019-06-09 00:28:00,2019-06-09,2019-06-09 05:39:00,2019-06-09 19:10:00,32,25,2019-06-02 15:13:00,180,180,南风,南风,3-4,3,5.6,4.4,1000,东莞市,广东省
9,雨,8,8,雨,89,First,2019-06-10 12:22:00,2019-06-10 00:28:00,2019-06-10,2019-06-10 05:39:00,2019-06-10 19:10:00,32,25,2019-06-02 15:13:00,180,180,南风,南风,3-4,3,5.6,4.4,1000,东莞市,广东省
