,conditionDay,conditionIdDay,conditionIdNight,conditionNight,humidity,moonphase,moonrise,moonset,predictDate,sunrise,sunset,tempDay,tempNight,updatetime,windDegreesDay,windDegreesNight,windDirDay,windDirNight,windLevelDay,windLevelNight,windSpeedDay,windSpeedNight,cityid,name,pname
0,大雨,9,9,大雨,83,WaningCrescent,2019-08-25 00:33:00,2019-08-25 14:11:00,2019-08-25,2019-08-25 06:05:00,2019-08-25 18:50:00,32,24,2019-08-25 23:08:00,225,225,西南风,西南风,3-4,3-4,5.6,5.6,1000,东莞市,广东省
1,雷阵雨,4,4,雷阵雨,85,WaningCrescent,2019-08-26 01:24:00,2019-08-26 15:11:00,2019-08-26,2019-08-26 06:05:00,2019-08-26 18:49:00,32,24,2019-08-26 07:07:00,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
2,雷阵雨,4,31,多云,82,WaningCrescent,2019-08-27 02:21:00,2019-08-27 16:10:00,2019-08-27,2019-08-27 06:06:00,2019-08-27 18:48:00,33,26,2019-08-26 07:07:00,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
3,多云,1,31,多云,76,WaningCrescent,2019-08-28 03:23:00,2019-08-28 17:08:00,2019-08-28,2019-08-28 06:06:00,2019-08-28 18:47:00,35,27,2019-08-26 07:07:00,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
4,雷阵雨,4,31,多云,76,WaningCrescent,2019-08-29 04:29:00,2019-08-29 18:02:00,2019-08-29,2019-08-29 06:06:00,2019-08-29 18:46:00,36,27,2019-08-26 07:07:00,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
5,雷阵雨,4,33,阵雨,76,New,2019-08-30 05:36:00,2019-08-30 18:52:00,2019-08-30,2019-08-30 06:07:00,2019-08-30 18:45:00,35,27,2019-08-26 07:07:00,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
6,雷阵雨,4,9,大雨,78,WaxingCrescent,2019-08-31 06:43:00,2019-08-31 19:38:00,2019-08-31,2019-08-31 06:07:00,2019-08-31 18:44:00,34,26,2019-08-26 07:07:00,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
7,大雨,9,9,大雨,81,WaxingCrescent,2019-09-01 07:49:00,2019-09-01 20:22:00,2019-09-01,2019-09-01 06:07:00,2019-09-01 18:43:00,32,27,2019-08-26 07:07:00,0,0,北风,北风,1,1,0.9,0.9,1000,东莞市,广东省
8,雨,8,8,雨,81,WaxingCrescent,2019-09-02 08:53:00,2019-09-02 21:04:00,2019-09-02,2019-09-02 06:07:00,2019-09-02 18:42:00,30,24,2019-08-26 07:14:00,135,90,东南风,东风,3,3,4.4,4.4,1000,东莞市,广东省
9,雨,8,8,雨,82,WaxingCrescent,2019-09-03 09:55:00,2019-09-03 21:47:00,2019-09-03,2019-09-03 06:08:00,2019-09-03 18:41:00,30,24,2019-08-26 07:14:00,135,90,东南风,东风,3,3,4.4,4.4,1000,东莞市,广东省
10,雨,8,8,雨,85,WaxingCrescent,2019-09-04 10:56:00,2019-09-04 22:30:00,2019-09-04,2019-09-04 06:08:00,2019-09-04 18:40:00,29,24,2019-08-26 07:14:00,45,45,东北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
11,雨,8,8,雨,86,WaxingCrescent,2019-09-05 11:56:00,2019-09-05 23:15:00,2019-09-05,2019-09-05 06:08:00,2019-09-05 18:39:00,28,24,2019-08-26 07:14:00,135,90,东南风,东风,3,3,4.4,4.4,1000,东莞市,广东省
12,雨,8,8,雨,86,First,2019-09-06 12:54:00,2019-09-06 00:02:00,2019-09-06,2019-09-06 06:09:00,2019-09-06 18:38:00,27,23,2019-08-26 07:14:00,135,90,东南风,东风,3,3,4.4,4.4,1000,东莞市,广东省
13,雨,8,8,雨,85,WaxingGibbous,2019-09-07 13:51:00,2019-09-07 00:02:00,2019-09-07,2019-09-07 06:09:00,2019-09-07 18:37:00,28,24,2019-08-26 07:14:00,180,90,南风,东风,3,3,4.4,4.4,1000,东莞市,广东省
14,雨,8,8,雨,83,WaxingGibbous,2019-09-08 14:44:00,2019-09-08 00:51:00,2019-09-08,2019-09-08 06:09:00,2019-09-08 18:36:00,29,24,2019-08-26 07:14:00,180,90,南风,东风,3,3,4.4,4.4,1000,东莞市,广东省
15,雨,8,8,雨,77,WaxingGibbous,2019-09-09 15:34:00,2019-09-09 01:42:00,2019-09-09,2019-09-09 06:10:00,2019-09-09 18:35:00,28,24,2019-08-26 07:14:00,180,180,南风,南风,3,3,4.4,4.4,1000,东莞市,广东省
16,中雨,8,9,大雨,80,WaningCrescent,2019-08-25 00:35:00,2019-08-25 14:12:00,2019-08-25,2019-08-25 06:07:00,2019-08-25 18:51:00,32,25,2019-08-25 23:09:00,225,225,西南风,西南风,3-4,3-4,5.6,5.6,1002,中山市,广东省
