Fid	name	name_en	name_py	Fprovince_cn	Fweathercn	Filter
120	清原满族自治县	Qingyuan Manchu Autonomous County	qingyuanmanzuzizhixian	辽宁省	101070403	
121	新宾满族自治县	Xinbin Manchu Autonomous County	xinbinmanzuzizhixian	辽宁省	101070402	
122	章党镇	Zhangdang Town	zhangdangzhen	辽宁省	101070401	
124	本溪市	Benxi	benxishi	辽宁省	101070501	
125	本溪满族自治县	Benxi Manchu Autonomous County	benximanzuzizhixian	辽宁省	101070502	
126	桓仁满族自治县	Huanren Manchu Autonomous County	huanrenmanzuzizhixian	辽宁省	101070504	
127	草河口镇	Caohekou Town	caohekouzhen	辽宁省	101070502	
129	丹东市	Dandong	dandongshi	辽宁省	101070601	丹东市
130	东港市	Donggang	donggangshi	辽宁省	101070604	
131	凤城市	Fengcheng	fengchengshi	辽宁省	101070602	
132	宽甸满族自治县	Kuandian Manchu Autonomous County	kuandianmanzuzizhixian	辽宁省	101070603	
135	锦州市	Jinzhou	jinzhoushi	辽宁省	101070701	
136	凌海市	Linghai	linghaishi	辽宁省	101070702	
137	北镇市	Beizhen	beizhenshi	辽宁省	101070706	
138	黑山县	Heishan County	heishanxian	辽宁省	101070705	
139	义县	Yi County	yixian	辽宁省	101070704	
142	营口市	Yingkou	yingkoushi	辽宁省	101070801	
143	盖州市	Gaizhou	gaizhoushi	辽宁省	101070803	
144	大石桥市	Dashiqiao	dashiqiaoshi	辽宁省	101070802	
146	阜新市	Fuxin	fuxinshi	辽宁省	101070901	
147	彰武县	Zhangwu County	zhangwuxian	辽宁省	101070902	
150	辽阳市	Liaoyang	liaoyangshi	辽宁省	101071001	
151	灯塔市	Dengta	dengtashi	辽宁省	101071003	
152	辽阳县	Liaoyang County	liaoyangxian	辽宁省	101071002	
154	盘锦市	Panjin	panjinshi	辽宁省	101071301	
155	大洼区	Dawa District	dawaqu	辽宁省	101071302	
156	盘山县	Panshan County	panshanxian	辽宁省	101071303	
158	铁岭市	Tieling	tielingshi	辽宁省	101071101	
160	开原市	Kaiyuan	kaiyuanshi	辽宁省	101071102	
162	西丰县	Xifeng County	xifengxian	辽宁省	101071104	
163	昌图县	Changtu County	changtuxian	辽宁省	101071103	
164	调兵山市	Diaobingshan	diaobingshanshi	辽宁省	101071105	
165	铁法市（现调兵山市）	Tiefa	tiefa	辽宁省	101071105	
167	朝阳市	Chaoyang	chaoyangshi	辽宁省	101071201	
168	北票市	Beipiao	beipiaoshi	辽宁省	101071205	
169	凌源市	Lingyuan	lingyuanshi	辽宁省	101071203	
171	建平镇	Jianping Town	jianpingzhen	辽宁省	101071207	
172	喀喇沁左翼蒙古族自治县	Harqin Left Wing Mongolian Autonomous County	kalaqinzuoyimengguzuzizhixian	辽宁省	101071204	
173	调兵山市羊山镇	Yangshan Town	diaobingshanshiyangshanzhen	辽宁省	101071204	
174	建平县	Jianping County	jianpingxian	辽宁省	101071207	
176	葫芦岛市	Huludao	huludaoshi	辽宁省	101071401	
177	兴城市	Xingcheng	xingchengshi	辽宁省	101071404	
178	绥中县	Suizhong County	suizhongxian	辽宁省	101071403	
179	建昌县	Jianchang County	jianchangxian	辽宁省	101071402	
182	长春市	Changchun	changchunshi	吉林省	101060101	长春市
183	双阳区	Shuangyang District	shuangyangqu	吉林省	101060106	
184	九台区	Jiutai District	jiutaiqu	吉林省	101060104	
185	榆树市	Yushu	yushushi	吉林省	101060105	
186	德惠市	Dehui	dehuishi	吉林省	101060103	
187	农安县	Nongan County	nonganxian	吉林省	101060102	
189	吉林市	Jilin	jilinshi	吉林省	101060201	吉林市
190	舒兰市	Shulan	shulanshi	吉林省	101060202	
191	桦甸市	Huadian	huadianshi	吉林省	101060206	
192	蛟河市	Jiaohe	jiaoheshi	吉林省	101060204	
193	磐石市	Panshi	panshishi	吉林省	101060205	
194	永吉县	Yongji County	yongjixian	吉林省	101060203	
195	烟筒山	Yantongshan	yantongshan	吉林省	101060205	
197	四平市	Siping	sipingshi	吉林省	101060401	四平市
198	公主岭市	Gongzhuling	gongzhulingshi	吉林省	101060404	
199	双辽市	Shuangliao	shuangliaoshi	吉林省	101060402	
200	梨树县	Lishu County	lishuxian	吉林省	101060403	
201	伊通满族自治县	Yitong Manchu Autonomous County	yitongmanzuzizhixian	吉林省	101060405	
204	辽源市	Liaoyuan	liaoyuanshi	吉林省	101060701	辽源市
205	东辽县	Dongliao County	dongliaoxian	吉林省	101060703	
206	东丰县	Dongfeng County	dongfengxian	吉林省	101060702	
208	通化市	Tonghua	tonghuashi	吉林省	101060501	通化市
209	梅河口市	Meihekou	meihekoushi	吉林省	101060502	
210	集安市	Ji&apos;an	jianshi	吉林省	101060505	
211	辉南县	Huinan County	huinanxian	吉林省	101060504	
212	通化县	Tonghua County	tonghuaxian	吉林省	101060506	
213	柳河县	Liuhe County	liuhexian	吉林省	101060503	
215	白山市	Baishan	baishanshi	吉林省	101060901	白山市
216	靖宇县	Jingyu County	jingyuxian	吉林省	101060902	
217	抚松县	Fusong County	fusongxian	吉林省	101060906	
218	长白朝鲜族自治县	Changbai Korean Autonomous County	changbaichaoxianzuzizhixian	吉林省	101060905	
219	东岗镇	Donggang Town	donggangzhen	吉林省	101060906	
220	临江市	Linjiang	linjiangshi	吉林省	101060903	
221	江源区	Jiangyuan District	jiangyuanqu	吉林省	101060907	
223	白城市	Baicheng	baichengshi	吉林省	101060601	
224	洮南市	Taonan	taonanshi	吉林省	101060602	
225	大安市	Daan	daanshi	吉林省	101060603	
226	镇赉县	Zhenlai County	zhenlaixian	吉林省	101060604	
227	通榆县	Tongyu County	tongyuxian	吉林省	101060605	
229	松原市	Songyuan	songyuanshi	吉林省	101060801	
231	扶余市	Fuyu	fuyushi	吉林省	101060805	
232	长岭县	Changling County	changlingxian	吉林省	101060804	
233	乾安县	Qian&apos;an County	qiananxian	吉林省	101060802	
234	前郭尔罗斯蒙古族自治县	Qian Gorlos Mongolian Autonomous County	qianguoerluosimengguzuzizhixian	吉林省	101060803	
236	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	yanbianchaoxianzuzizhizhou	吉林省	101060301	
237	延吉市	Yanji	yanjishi	吉林省	101060301	
238	图们市	Tumen	tumenshi	吉林省	101060309	
239	敦化市	Dunhua	dunhuashi	吉林省	101060302	
240	龙井市	Longjing	longjingshi	吉林省	101060307	
241	珲春市	Hunchun	hunchunshi	吉林省	101060308	
242	和龙市	Helong	helongshi	吉林省	101060305	
243	安图县	Antu County	antuxian	吉林省	101060303	
244	汪清县	Wangqing County	wangqingxian	吉林省	101060304	
245	二道白河镇	Erdao Baihe Town	erdaobaihezhen	吉林省	101060303	
246	安图县松江镇	Songjiang Town	antuxiansongjiangzhen	吉林省	101060303	
247	罗子沟镇	Luozigou Town	luozigouzhen	吉林省	101060304	
250	哈尔滨市	Harbin	haerbinshi	黑龙江省	101050101	哈尔滨市
252	呼兰区	Hulan District	hulanqu	黑龙江省	101050103	
253	双城区	Shuangcheng District	shuangchengqu	黑龙江省	101050102	
254	尚志市	Shangzhi	shangzhishi	黑龙江省	101050111	
255	五常市	Wuchang	wuchangshi	黑龙江省	101050112	
256	阿城区	Acheng District	Achengqu	黑龙江省	101050104	
259	依兰县	Yilan County	yilanxian	黑龙江省	101050106	
260	方正县	Fangzheng County	fangzhengxian	黑龙江省	101050109	
261	宾县	Bin County	binxian	黑龙江省	101050105	
262	巴彦县	Bayan County	bayanxian	黑龙江省	101050107	
263	木兰县	Mulan County	mulanxian	黑龙江省	101050113	
264	通河县	Tonghe County	tonghexian	黑龙江省	101050108	
265	延寿县	Yanshou County	yanshouxian	黑龙江省	101050110	
267	齐齐哈尔市	Qiqihar	qiqihaershi	黑龙江省	101050201	齐齐哈尔市
271	讷河市	Nehe	neheshi	黑龙江省	101050202	
272	龙江县	Longjiang County	longjiangxian	黑龙江省	101050203	
273	依安县	Yian County	yianxian	黑龙江省	101050206	
274	泰来县	Taylor County	tailaixian	黑龙江省	101050210	
275	甘南县	Gannan County	gannanxian	黑龙江省	101050204	
276	富裕县	Fuyu County	fuyuxian	黑龙江省	101050205	
277	克山县	Keshan County	keshanxian	黑龙江省	101050208	
278	克东县	Kedong County	kedongxian	黑龙江省	101050209	
279	拜泉县	Baiquan County	baiquanxian	黑龙江省	101050207	
281	鸡西市	Jixi	jixishi	黑龙江省	101051101	
287	虎林市	Hulin	hulinshi	黑龙江省	101051102	
288	密山市	Mishan	mishanshi	黑龙江省	101051103	
289	鸡东县	Jidong County	jidongxian	黑龙江省	101051104	
291	鹤岗市	Hegang	hegangshi	黑龙江省	101051201	
292	萝北县	Luobei County	luobeixian	黑龙江省	101051203	
293	绥滨县	Suibin County	suibinxian	黑龙江省	101051202	
295	双鸭山市	Shuangyashan	shuangyashanshi	黑龙江省	101051301	
299	集贤县	Jixian County	jixianxian	黑龙江省	101051302	
300	宝清县	Baoqing County	baoqingxian	黑龙江省	101051303	
301	饶河县	Raohe County	raohexian	黑龙江省	101051304	
303	友谊县	Youyi County	youyixian	黑龙江省	101051305	
305	大庆市	Daqing	daqingshi	黑龙江省	101050901	大庆市
310	肇源县	Zhaoyuan	zhaoyuanxian	黑龙江省	101050904	
311	肇州县	Zhaozhou	zhaozhouxian	黑龙江省	101050903	
312	林甸县	Lindian County	lindianxian	黑龙江省	101050902	
314	杜尔伯特蒙古族自治县	Dorbod Mongol Autonomous County	duerbotemengguzuzizhixian	黑龙江省	101050905	
316	伊春市	Yichun	yichunshi	黑龙江省	101050801	
326	铁力市	Tieli	tielishi	黑龙江省	101050804	
327	嘉荫县	Jiayin County	jiayinxian	黑龙江省	101050805	
328	乌伊岭区	Wuyiling District	wuyilingqu	黑龙江省	101050802	
329	五营区	Wuying District	wuyingqu	黑龙江省	101050803	
331	佳木斯市	Jiamusi	jiamusishi	黑龙江省	101050401	佳木斯市
332	同江市	River City with	tongjiangshi	黑龙江省	101050406	
333	富锦市	Fujin	fujinshi	黑龙江省	101050407	
334	桦南县	Huanan County	huananxian	黑龙江省	101050405	
335	桦川县	Huachuan County	huachuanxian	黑龙江省	101050404	
336	汤原县	Tangyuan County	tangyuanxian	黑龙江省	101050402	
337	抚远县	Fuyuan County	fuyuanxian	黑龙江省	101050403	
339	七台河市	Qitaihe	qitaiheshi	黑龙江省	101051002	
340	勃利县	Boli County	bolixian	黑龙江省	101051003	
342	牡丹江市	Mudanjiang	mudanjiangshi	黑龙江省	101050301	
343	穆棱市	Muling	mulingshi	黑龙江省	101050303	
344	绥芬河市	Suifenhe	suifenheshi	黑龙江省	101050305	
345	海林市	Hailin	hailinshi	黑龙江省	101050302	
346	宁安市	Ning&apos;an	ninganshi	黑龙江省	101050306	
347	东宁市	Dongning	dongningshi	黑龙江省	101050307	
348	林口县	Linkou County	linkouxian	黑龙江省	101050304	
351	黑河市	Heihe	heiheshi	黑龙江省	101050601	
353	北安市	Beian	beianshi	黑龙江省	101050606	
354	五大连池市	Wudalianchi	wudalianchishi	黑龙江省	101050605	
355	嫩江县	Nenjiang County	nenjiangxian	黑龙江省	101050602	
356	逊克县	Xunke County	xunkexian	黑龙江省	101050604	
357	孙吴县	Sunwu County	sunwuxian	黑龙江省	101050603	
359	绥化市	Suihua	suihuashi	黑龙江省	101050501	
360	安达市	Anda	andashi	黑龙江省	101050503	
361	肇东市	Zhaodong	zhaodongshi	黑龙江省	101050502	
362	海伦市	Hailun	hailunshi	黑龙江省	101050504	
363	望奎县	Wangkui County	wangkuixian	黑龙江省	101050506	
364	兰西县	Lanxi County	lanxixian	黑龙江省	101050507	
365	青冈县	Qinggang County	qinggangxian	黑龙江省	101050508	
366	庆安县	Qing&apos;an County	qinganxian	黑龙江省	101050509	
367	明水县	Mingshui County	mingshuixian	黑龙江省	101050505	
368	绥棱县	Suileng County	suilengxian	黑龙江省	101050510	
370	大兴安岭地区	Daxinganling	daxinganlingdiqu	黑龙江省	101050701	
371	加格达奇区	Jiagedaqi District	jiagedaqiqu	黑龙江省	101050701	
372	呼玛县	Huma County	humaxian	黑龙江省	101050704	
373	塔河县	Tahe County	tahexian	黑龙江省	101050702	
374	漠河县	Mohe County	mohexian	黑龙江省	101050703	
